STT,Ten_quan,Loai_dich_vu,Dia_chi,SDT,Doi_tac,Gia,Link_drive
1,Đặc Sản Nhà Tôm,Đặc sản,"27 Thi Sách, Café Mê Lá",0843 136 879,x,50K–150K,Đặc sản nhà Tôm
2,Quoà - Đặc Sản Đà Lạt,Đặc sản,205 Nguyễn Công Trứ,0339 924 032,,50K–150K,Quoà - Đặc Sản Đà Lạt
3,Thuê xe Phong Hoa Huệ,Thuê xe,97/4 Phan Bội Châu,0942 749 068,x,100K–150K,Thuê xe Phong Hoa Huệ
4,Tiệm Chaiko,Thuê đồ,27 Yersin,0793 832 676,x,80K–150K,Tiệm Chaiko
5,Hí Camera,Thuê máy ảnh,Trần Quang Diệu,0963 833 978,,150K–400K,Hí Camera
6,Langfarm,Đặc sản,Nhiều chi nhánh,,,40K–120K,Langfarm
7,LATA's Đà Lạt,Đặc sản,C45 KQH Hoàng Văn Thụ,0779 945 686,,50K–130K,LATA's Đà Lạt
8,Mer Spa,Spa - Gội Đầu,1 Mai Hoa Thôn,0945 705 598,,100K–250K,Mer Spa
9,Thiên Di Spa,Spa - Gội Đầu,"Lô C4, KQH Bà Triệu",0387 938 799,x,120K–300K,Thiên Di Spa
10,Tiệm Gội An Yên,Spa - Gội Đầu,16 Nguyễn Thượng Hiền,0981 773 368,,80K–200K,Tiệm Gội An Yên
11,Thuê xe máy Mai Sơn,Thuê xe,54 Nam Hồ,0939 731 734,,100K–150K,Thuê xe máy Mai Sơn
12,Amazing Xanh - Xe điện tự lái,Thuê xe,210 Nguyễn Công Trứ,1900 8649,,150K–300K,Amazing Xanh
13,H2 Rental,Thuê đồ,70 KQH Yersin,0372 207 787,,100K–200K,H2 Rental
14,Stell. Studio,Chụp ảnh,362 Hai Bà Trưng,0352 670 934,x,300K–800K,Stell. Studio
15,Ngon Lạ Đà Lạt,Đặc sản,14 Ba Tháng Hai,0898 981 589,,40K–120K,Ngon Lạ Đà Lạt
16,Chip’Farm,Đặc sản,40 Bà Triệu,0833 333 139,,50K–150K,Chip’Farm
17,Xe Phương Trang,Nhà xe,01 Tô Hiến Thành,1900 6067,,250K–350K,Xe Phương Trang
18,Nhà Xe An Anh,Nhà xe,86 Khe Sanh,1900 8678,,250K–400K,Nhà Xe An Anh
19,Nhà Xe Phong Phú,Nhà xe,10 Phan Bội Châu,1900 9222,,250K–350K,Nhà Xe Phong Phú
20,Nhà Xe Thành Bưởi,Nhà xe,49-55 Phan Bội Châu,1900 1905,,250K–400K,Nhà Xe Thành Bưởi
21,Seon Limousine,Nhà xe,86 Khe Sanh,1900561240,,350K–450K,Seon Limousine
22,Long Vân Limousine,Nhà xe,"152 Chu Văn An, HCM",1900 252547,,350K–450K,Long Vân Limousine
23,Phong Phú Limousine,Nhà xe,"536 - 538 Hoàng Văn Thụ , HCM",1900 9222,,350K–450K,Phong Phú Limousine
24,Cao Lầu,Spa - Gội Đầu,72A Nguyễn Chí Thanh,092 606 00 61,,100K–250K,Cao Lầu
25,Tiệm gội nhà Cá,Spa - Gội Đầu,54b Trạng Trình,096 132 42 12,,80K–180K,Tiệm gội nhà Cá
26,Thuê Xe Hồng Vân,Thuê xe,38 Ngô Thì Nhậm,038 654 8481,,100K–150K,Thuê Xe Hồng Vân
27,T-Motor,Thuê xe,H35 KQH Phạm Hồng Thái,0848 774 775,,120K–180K,T-Motor
28,Thuê Xe Nguyên Vũ,Thuê xe,27 Lê Hồng Phong,0785 820 996,,100K–150K,Thuê Xe Nguyên Vũ
